FileName,WER,NO. of  expected chars,NO. of actual chars,NO. Added chars,NO. Missing chars,levenshtein Distance,Proportional Lev
arctic_a0125,0.2653061224489796,49,50,12,11,18,0.3673469387755102
arctic_a0089,0.4074074074074074,27,26,8,9,15,0.5555555555555556
arctic_a0031,0.32,25,22,4,7,12,0.48
arctic_a0108,0.21739130434782608,46,45,8,9,15,0.32608695652173914
arctic_a0028,0.47058823529411764,17,15,5,7,11,0.6470588235294118
arctic_a0128,0.20512820512820512,39,38,6,7,12,0.3076923076923077
arctic_a0101,0.36363636363636365,22,22,6,6,14,0.6363636363636364
arctic_b0530,0.4230769230769231,26,26,10,10,17,0.6538461538461539
arctic_a0117,0.36585365853658536,41,37,7,11,22,0.5365853658536586
arctic_a0134,0.45454545454545453,22,23,9,8,13,0.5909090909090909
arctic_a0095,0.3023255813953488,43,42,10,11,18,0.4186046511627907
arctic_a0233,0.4827586206896552,29,31,12,10,20,0.6896551724137931
arctic_a0053,0.2682926829268293,41,42,10,9,15,0.36585365853658536
arctic_a0096,0.25,44,45,9,8,13,0.29545454545454547
arctic_a0007,0.23076923076923078,39,37,7,9,14,0.358974358974359
arctic_b0238,0.4722222222222222,36,36,13,13,24,0.6666666666666666
arctic_a0041,0.37037037037037035,27,26,8,9,15,0.5555555555555556
arctic_a0094,0.3055555555555556,36,36,9,9,17,0.4722222222222222
arctic_a0054,0.5,18,15,4,7,16,0.8888888888888888
arctic_a0079,0.42857142857142855,14,11,3,6,12,0.8571428571428571
arctic_a0027,0.3541666666666667,48,48,12,12,25,0.5208333333333334
arctic_b0320,0.3469387755102041,49,49,13,13,24,0.4897959183673469
arctic_a0495,0.27586206896551724,29,29,5,5,14,0.4827586206896552
arctic_a0378,0.71875,32,33,16,15,28,0.875
arctic_a0093,0.38461538461538464,26,28,9,7,14,0.5384615384615384
arctic_a0040,0.3548387096774194,31,30,9,10,15,0.4838709677419355
arctic_a0143,0.2916666666666667,24,23,6,7,11,0.4583333333333333
arctic_a0042,0.2777777777777778,36,34,7,9,13,0.3611111111111111
arctic_a0442,0.48148148148148145,27,27,9,9,17,0.6296296296296297
arctic_a0148,0.24242424242424243,33,34,8,7,11,0.3333333333333333
arctic_a0039,0.23333333333333334,30,30,3,3,10,0.3333333333333333
arctic_a0030,0.2857142857142857,14,14,4,4,6,0.42857142857142855
arctic_a0077,0.4,20,22,8,6,11,0.55
arctic_b0201,0.31746031746031744,63,68,18,13,26,0.4126984126984127
arctic_a0364,0.2,40,43,8,5,13,0.325
