FileName,WER,NO. of  expected chars,NO. of actual chars,NO. Added chars,NO. Missing chars,levenshtein Distance,Proportional Lev
arctic_a0125,0.19607843137254902,51,50,9,10,13,0.2653061224489796
arctic_a0089,0.32142857142857145,28,26,6,8,13,0.48148148148148145
arctic_a0031,0.28,25,22,4,7,11,0.44
arctic_a0108,0.23404255319148937,47,45,8,10,15,0.32608695652173914
arctic_a0028,0.4375,16,15,5,6,9,0.5294117647058824
arctic_a0128,0.175,40,38,5,7,10,0.2564102564102564
arctic_a0101,0.16,25,22,1,4,9,0.4090909090909091
arctic_b0530,0.39285714285714285,28,26,9,11,16,0.6153846153846154
arctic_a0117,0.36585365853658536,41,37,7,11,22,0.5365853658536586
arctic_a0134,0.34782608695652173,23,23,7,7,12,0.5454545454545454
arctic_a0095,0.29545454545454547,44,42,9,11,17,0.3953488372093023
arctic_a0233,0.38235294117647056,34,31,9,12,18,0.6206896551724138
arctic_a0053,0.2857142857142857,42,42,12,12,15,0.36585365853658536
arctic_a0096,0.26666666666666666,45,45,9,9,13,0.29545454545454547
arctic_a0007,0.23076923076923078,39,37,7,9,14,0.358974358974359
arctic_b0238,0.3333333333333333,39,36,8,11,20,0.5555555555555556
arctic_a0041,0.3333333333333333,27,26,7,8,14,0.5185185185185185
arctic_a0094,0.2564102564102564,39,36,6,9,15,0.4166666666666667
arctic_a0054,0.5,18,15,4,7,16,0.8888888888888888
arctic_a0079,0.4666666666666667,15,11,3,7,12,0.8571428571428571
arctic_a0027,0.32653061224489793,49,48,11,12,23,0.4791666666666667
arctic_b0320,0.28,50,49,12,13,20,0.40816326530612246
arctic_a0495,0.3,30,29,7,8,14,0.4827586206896552
arctic_a0378,0.5833333333333334,36,33,15,18,26,0.8125
arctic_a0093,0.25,28,28,6,6,11,0.4230769230769231
arctic_a0040,0.28125,32,30,6,8,13,0.41935483870967744
arctic_a0143,0.25,24,23,5,6,10,0.4166666666666667
arctic_a0042,0.17647058823529413,34,34,5,5,7,0.19444444444444445
arctic_a0442,0.37037037037037035,27,27,8,8,13,0.48148148148148145
arctic_a0148,0.25,32,34,8,6,12,0.36363636363636365
arctic_a0039,0.16666666666666666,30,30,2,2,8,0.26666666666666666
arctic_a0030,0.21428571428571427,14,14,3,3,5,0.35714285714285715
arctic_a0077,0.23809523809523808,21,22,5,4,7,0.35
arctic_b0201,0.26865671641791045,67,68,12,11,26,0.4126984126984127
arctic_a0364,0.16666666666666666,42,43,6,5,11,0.275
arctic_a0067,0.3076923076923077,26,27,6,5,11,0.4583333333333333
arctic_a0099,0.3103448275862069,29,27,7,9,11,0.3793103448275862
arctic_a0073,0.3953488372093023,43,43,13,13,21,0.4883720930232558
arctic_a0102,0.4666666666666667,15,14,6,7,9,0.6428571428571429
arctic_a0010,0.18604651162790697,43,44,8,7,11,0.2558139534883721
arctic_a0126,0.21875,32,32,6,6,8,0.25
arctic_a0085,0.3870967741935484,31,29,7,9,18,0.6
arctic_a0026,0.16666666666666666,36,34,3,5,11,0.3055555555555556
arctic_b0143,0.4827586206896552,29,29,10,10,19,0.6551724137931034
arctic_a0137,0.2903225806451613,31,31,8,8,13,0.41935483870967744
arctic_a0062,0.5,24,24,9,9,18,0.75
arctic_a0022,0.2857142857142857,56,58,13,11,21,0.375
arctic_b0192,0.4418604651162791,43,39,12,16,27,0.7297297297297297
arctic_a0078,0.2857142857142857,28,26,4,6,12,0.48
arctic_a0542,0.3157894736842105,38,37,10,11,15,0.40540540540540543
arctic_a0375,0.25,60,59,13,14,19,0.3333333333333333
arctic_a0116,0.4318181818181818,44,43,14,15,28,0.6511627906976745
arctic_a0088,0.24489795918367346,49,48,10,11,15,0.3125
arctic_a0032,0.10638297872340426,47,45,3,5,9,0.19148936170212766
arctic_a0082,0.16666666666666666,24,22,2,4,8,0.3333333333333333
arctic_a0097,0.34,50,48,12,14,23,0.48936170212765956
arctic_a0006,0.5714285714285714,35,36,14,13,28,0.7567567567567568
arctic_a0003,0.1794871794871795,39,41,6,4,12,0.3
arctic_a0123,0.12903225806451613,31,30,3,4,7,0.23333333333333334
arctic_a0271,0.34285714285714286,35,35,10,10,18,0.5806451612903226
arctic_a0113,0.2631578947368421,38,36,6,8,14,0.3684210526315789
arctic_a0075,0.43333333333333335,30,30,10,10,15,0.5357142857142857
arctic_a0303,0.3902439024390244,41,36,10,15,23,0.5897435897435898
arctic_a0145,0.21621621621621623,37,36,6,7,13,0.3611111111111111
arctic_a0090,0.32,25,25,7,7,11,0.4583333333333333
arctic_a0029,0.2894736842105263,38,34,7,11,17,0.4594594594594595
arctic_a0076,0.37037037037037035,27,27,8,8,13,0.48148148148148145
arctic_b0106,0.2631578947368421,38,40,8,6,14,0.3783783783783784
arctic_a0019,0.2708333333333333,48,48,12,12,16,0.3404255319148936
arctic_a0048,0.14285714285714285,28,28,4,4,7,0.25
arctic_b0225,0.3,40,36,7,11,19,0.5277777777777778
arctic_b0503,0.26666666666666666,45,42,7,10,18,0.43902439024390244
arctic_a0139,0.21428571428571427,56,54,10,12,15,0.2830188679245283
arctic_a0060,0.21739130434782608,23,22,4,5,9,0.391304347826087
arctic_a0047,0.35,40,39,9,10,18,0.46153846153846156
arctic_b0197,0.21875,32,32,7,7,10,0.3333333333333333
arctic_a0045,0.13333333333333333,30,31,4,3,7,0.2413793103448276
arctic_a0098,0.36363636363636365,11,9,1,3,8,0.7272727272727273
arctic_a0071,0.38235294117647056,34,28,7,13,19,0.6333333333333333
arctic_b0386,0.1956521739130435,46,46,8,8,14,0.3111111111111111
arctic_a0127,0.3333333333333333,30,27,4,7,14,0.45161290322580644
arctic_a0130,0.25,16,16,3,3,6,0.375
arctic_a0058,0.14285714285714285,49,48,6,7,11,0.2391304347826087
arctic_a0063,0.3333333333333333,27,26,6,7,13,0.48148148148148145
arctic_a0365,0.3448275862068966,29,29,9,9,13,0.4642857142857143
arctic_a0092,0.23809523809523808,42,42,9,9,13,0.325
arctic_a0121,0.2857142857142857,35,32,7,10,14,0.4
arctic_a0379,0.4,15,13,4,6,10,0.7692307692307693
arctic_b0215,0.3333333333333333,30,31,9,8,14,0.5185185185185185
arctic_a0013,0.2,50,50,8,8,13,0.2653061224489796
arctic_a0209,0.36363636363636365,33,31,9,11,17,0.6296296296296297
arctic_a0064,0.3333333333333333,42,38,9,13,19,0.4634146341463415
arctic_a0021,0.22580645161290322,31,28,4,7,11,0.36666666666666664
arctic_a0103,0.3055555555555556,36,34,7,9,17,0.53125
arctic_a0106,0.44680851063829785,47,43,7,11,35,0.7608695652173914
arctic_a0109,0.3055555555555556,36,32,7,11,17,0.5
arctic_a0369,0.37254901960784315,51,46,14,19,26,0.5652173913043478
arctic_b0342,0.07142857142857142,42,42,2,2,6,0.14634146341463414
arctic_b0469,0.2571428571428571,35,34,4,5,12,0.34285714285714286
arctic_a0038,0.35,20,19,5,6,9,0.45
arctic_a0112,0.3333333333333333,18,15,3,6,11,0.6470588235294118
arctic_a0272,0.375,24,25,9,8,12,0.5
arctic_a0020,0.3333333333333333,39,36,9,12,18,0.45
arctic_a0260,0.2564102564102564,39,40,7,6,15,0.40540540540540543
arctic_a0008,0.36,25,23,7,9,12,0.5
arctic_a0024,0.24,50,49,7,8,18,0.375
arctic_a0091,0.35714285714285715,28,28,7,7,16,0.5925925925925926
arctic_a0018,0.625,16,13,6,9,16,1.0666666666666667
arctic_a0136,0.17777777777777778,45,44,7,8,10,0.2222222222222222
arctic_b0425,0.3888888888888889,36,35,12,13,19,0.5588235294117647
arctic_a0011,0.2894736842105263,38,38,10,10,14,0.3783783783783784
arctic_a0384,0.30303030303030304,33,33,10,10,13,0.43333333333333335
arctic_a0111,0.20454545454545456,44,44,9,9,11,0.2682926829268293
arctic_a0059,0.28,25,25,7,7,11,0.44
arctic_b0315,0.13157894736842105,38,38,5,5,8,0.23529411764705882
arctic_a0131,0.2222222222222222,36,34,4,6,13,0.37142857142857144
arctic_a0086,0.4444444444444444,27,28,8,7,18,0.6666666666666666
arctic_a0168,0.2571428571428571,35,38,8,5,13,0.38235294117647056
arctic_a0051,0.30612244897959184,49,51,13,11,22,0.44
arctic_a0122,0.37142857142857144,35,37,12,10,17,0.4857142857142857
arctic_a0120,0.5384615384615384,39,38,12,13,28,0.717948717948718
arctic_a0178,0.37777777777777777,45,46,16,15,22,0.5238095238095238
arctic_a0023,0.18666666666666668,75,73,9,11,20,0.2702702702702703
arctic_a0104,0.18604651162790697,43,44,6,5,12,0.2857142857142857
arctic_a0037,0.2413793103448276,29,29,5,5,10,0.3448275862068966
arctic_b0019,0.3333333333333333,33,33,6,6,15,0.4838709677419355
arctic_b0022,0.35294117647058826,34,35,10,9,16,0.48484848484848486
arctic_a0065,0.3488372093023256,43,38,9,14,21,0.525
arctic_b0304,0.25,48,48,11,11,15,0.3125
arctic_a0416,0.575,40,33,12,19,33,0.8461538461538461
arctic_a0105,0.32608695652173914,46,42,10,14,21,0.5
arctic_b0047,0.25,28,28,7,7,10,0.37037037037037035
arctic_a0129,0.2608695652173913,23,22,4,5,9,0.391304347826087
arctic_a0258,0.2,30,29,4,5,9,0.3333333333333333
arctic_a0475,0.2631578947368421,38,34,6,10,18,0.5
arctic_a0144,0.43478260869565216,46,47,10,9,24,0.5581395348837209
arctic_a0046,0.2857142857142857,35,36,9,8,13,0.3611111111111111
arctic_b0355,0.3018867924528302,53,53,14,14,22,0.43137254901960786
arctic_a0345,0.16216216216216217,37,36,5,6,10,0.2777777777777778
arctic_a0115,0.23809523809523808,42,42,9,9,15,0.35714285714285715
arctic_a0100,0.3125,16,15,4,5,7,0.4375
arctic_a0052,0.375,24,23,7,8,11,0.4583333333333333
arctic_b0518,0.24324324324324326,37,37,7,7,14,0.4117647058823529
arctic_a0081,0.2608695652173913,23,21,4,6,9,0.42857142857142855
arctic_a0036,0.16666666666666666,18,18,3,3,6,0.3333333333333333
arctic_a0107,0.23076923076923078,26,26,5,5,10,0.43478260869565216
arctic_a0025,0.36585365853658536,41,37,8,12,18,0.45
arctic_a0005,0.4666666666666667,15,12,4,7,11,0.7333333333333333
arctic_b0068,0.3235294117647059,34,34,9,9,17,0.5151515151515151
arctic_b0266,0.19444444444444445,36,36,6,6,10,0.30303030303030304
